id,url,domain,network,extend,regex1,regex2,regex3,regex4,regex5,virustotal,isaffi
233,https://www.cao.go.jp/,0,0,0,0,0,0,0,1,0,0
234,https://www.gov-online.go.jp/,0,0,0,0,0,0,0,1,0,0
235,http://www.invest-japan.go.jp/,0,0,0,0,0,0,0,1,0,0
236,http://www.gender.go.jp/,0,0,0,0,0,0,0,0,0,0
237,http://www.scj.go.jp/,0,0,0,0,0,0,0,1,0,0
238,https://myna.go.jp,0,0,0,0,0,0,0,0,0,0
239,http://www.ogb.go.jp/,0,0,0,0,0,0,0,1,0,0
240,https://www.esri.cao.go.jp/,0,0,0,0,0,0,0,1,0,0
241,http://www.sip-adus.go.jp/,0,0,0,0,0,0,0,1,0,0
242,https://www.kodomohinkon.go.jp/,0,0,0,0,0,0,1,1,0,0
243,https://www.npo-homepage.go.jp/,0,0,0,0,0,0,0,1,0,0
244,http://bousai-system.go.jp/,0,0,0,0,0,0,0,1,0,0
245,https://resas-portal.go.jp/,0,0,0,0,0,0,0,1,0,0
246,http://www.pro-jinzai.go.jp/,0,0,0,0,0,0,0,1,0,0
247,https://www.amed.go.jp/,0,0,0,0,0,0,0,1,0,0
248,http://www.archives.go.jp/,0,0,0,0,0,0,0,1,0,0
249,http://future-city.go.jp/,0,0,0,0,0,0,0,1,0,0
250,http://www.kunaicho.go.jp/,0,0,0,0,0,0,0,0,0,0
251,http://www.jftc.go.jp/,0,0,0,0,0,0,0,0,0,0
252,https://www.npa.go.jp/,0,0,0,0,0,0,0,0,0,0
253,https://www.npsc.go.jp/,0,0,0,0,0,0,0,0,0,0
254,https://www.ppc.go.jp/,0,0,0,0,0,0,1,1,0,0
255,https://www.fsa.go.jp/,0,0,0,0,0,0,0,1,0,0
256,https://www.dic.go.jp/,0,0,0,0,0,0,0,1,0,0
257,https://www.caa.go.jp/,0,0,0,0,0,0,0,1,0,0
258,https://www.recall.caa.go.jp/,0,0,0,0,0,0,0,1,0,0
259,http://www.kokusen.go.jp/,0,0,0,0,0,0,0,1,0,0
260,https://www.reconstruction.go.jp/,0,0,0,0,0,0,1,1,0,0
